air_store_id,visit_date,visitors,day_of_week,holiday_flg,month,day,year,week_of_year,day_of_week_num,is_weekend,air_genre_name,air_area_name,latitude,longitude,reserved_visitors_sum,reservation_count,reserved_visitors_mean,avg_reserve_lead_days,has_reservation_data,visitors_lag_1,visitors_lag_7,visitors_lag_14,visitors_lag_28,visitors_rolling_7_mean,visitors_rolling_14_mean,visitors_rolling_28_mean
air_36bcf77d3382d36e,2016-02-09,24,Tuesday,0,2,9,2016,6,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,21.0,9.0,14.0,21.0,23.142857142857142,26.214285714285715,26.785714285714285
air_36bcf77d3382d36e,2016-02-10,34,Wednesday,0,2,10,2016,6,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,24.0,16.0,20.0,11.0,25.285714285714285,26.928571428571427,26.892857142857142
air_36bcf77d3382d36e,2016-02-11,47,Thursday,1,2,11,2016,6,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,34.0,15.0,22.0,20.0,27.857142857142858,27.928571428571427,27.714285714285715
air_36bcf77d3382d36e,2016-02-12,23,Friday,0,2,12,2016,6,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,47.0,17.0,31.0,21.0,32.42857142857143,29.714285714285715,28.678571428571427
air_36bcf77d3382d36e,2016-02-13,43,Saturday,0,2,13,2016,6,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,23.0,42.0,45.0,50.0,33.285714285714285,29.142857142857142,28.75
air_36bcf77d3382d36e,2016-02-14,55,Sunday,0,2,14,2016,6,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,43.0,42.0,56.0,49.0,33.42857142857143,29.0,28.5
air_36bcf77d3382d36e,2016-02-15,31,Monday,0,2,15,2016,7,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,55.0,21.0,17.0,11.0,35.285714285714285,28.928571428571427,28.714285714285715
air_36bcf77d3382d36e,2016-02-16,17,Tuesday,0,2,16,2016,7,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,31.0,24.0,9.0,20.0,36.714285714285715,29.928571428571427,29.428571428571427
air_36bcf77d3382d36e,2016-02-17,21,Wednesday,0,2,17,2016,7,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,34.0,16.0,17.0,35.714285714285715,30.5,29.321428571428573
air_36bcf77d3382d36e,2016-02-18,22,Thursday,0,2,18,2016,7,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,21.0,47.0,15.0,13.0,33.857142857142854,30.857142857142858,29.464285714285715
air_36bcf77d3382d36e,2016-02-19,36,Friday,0,2,19,2016,7,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,22.0,23.0,17.0,22.0,30.285714285714285,31.357142857142858,29.785714285714285
air_36bcf77d3382d36e,2016-02-20,51,Saturday,0,2,20,2016,7,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,36.0,43.0,42.0,51.0,32.142857142857146,32.714285714285715,30.285714285714285
air_36bcf77d3382d36e,2016-02-21,32,Sunday,0,2,21,2016,7,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,51.0,55.0,42.0,47.0,33.285714285714285,33.357142857142854,30.285714285714285
air_36bcf77d3382d36e,2016-02-22,12,Monday,0,2,22,2016,8,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,32.0,31.0,21.0,30.0,30.0,32.642857142857146,29.75
air_36bcf77d3382d36e,2016-02-23,21,Tuesday,0,2,23,2016,8,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,12.0,17.0,24.0,14.0,27.285714285714285,32.0,29.107142857142858
air_36bcf77d3382d36e,2016-02-24,12,Wednesday,0,2,24,2016,8,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,21.0,21.0,34.0,20.0,27.857142857142858,31.785714285714285,29.357142857142858
air_36bcf77d3382d36e,2016-02-25,30,Thursday,0,2,25,2016,8,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,12.0,22.0,47.0,22.0,26.571428571428573,30.214285714285715,29.071428571428573
air_36bcf77d3382d36e,2016-02-26,24,Friday,0,2,26,2016,8,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,30.0,36.0,23.0,31.0,27.714285714285715,29.0,29.357142857142858
air_36bcf77d3382d36e,2016-02-27,48,Saturday,0,2,27,2016,8,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,24.0,51.0,43.0,45.0,26.0,29.071428571428573,29.107142857142858
air_36bcf77d3382d36e,2016-02-28,68,Sunday,0,2,28,2016,8,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,48.0,32.0,55.0,56.0,25.571428571428573,29.428571428571427,29.214285714285715
air_36bcf77d3382d36e,2016-02-29,24,Monday,0,2,29,2016,9,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,68.0,12.0,31.0,17.0,30.714285714285715,30.357142857142858,29.642857142857142
air_36bcf77d3382d36e,2016-03-01,23,Tuesday,0,3,1,2016,9,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,24.0,21.0,17.0,9.0,32.42857142857143,29.857142857142858,29.892857142857142
air_36bcf77d3382d36e,2016-03-02,14,Wednesday,0,3,2,2016,9,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,23.0,12.0,21.0,16.0,32.714285714285715,30.285714285714285,30.392857142857142
air_36bcf77d3382d36e,2016-03-03,17,Thursday,0,3,3,2016,9,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,14.0,30.0,22.0,15.0,33.0,29.785714285714285,30.321428571428573
air_36bcf77d3382d36e,2016-03-04,30,Friday,0,3,4,2016,9,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,24.0,36.0,17.0,31.142857142857142,29.428571428571427,30.392857142857142
air_36bcf77d3382d36e,2016-03-05,60,Saturday,0,3,5,2016,9,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,30.0,48.0,51.0,42.0,32.0,29.0,30.857142857142858
air_36bcf77d3382d36e,2016-03-06,66,Sunday,0,3,6,2016,9,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,60.0,68.0,32.0,42.0,33.714285714285715,29.642857142857142,31.5
air_36bcf77d3382d36e,2016-03-07,20,Monday,0,3,7,2016,10,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,66.0,24.0,12.0,21.0,33.42857142857143,32.07142857142857,32.357142857142854
air_36bcf77d3382d36e,2016-03-08,24,Tuesday,0,3,8,2016,10,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,20.0,23.0,21.0,24.0,32.857142857142854,32.642857142857146,32.32142857142857
air_36bcf77d3382d36e,2016-03-09,19,Wednesday,0,3,9,2016,10,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,24.0,14.0,12.0,34.0,33.0,32.857142857142854,32.32142857142857
air_36bcf77d3382d36e,2016-03-10,23,Thursday,0,3,10,2016,10,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,19.0,17.0,30.0,47.0,33.714285714285715,33.357142857142854,31.785714285714285
air_36bcf77d3382d36e,2016-03-11,20,Friday,0,3,11,2016,10,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,23.0,30.0,24.0,23.0,34.57142857142857,32.857142857142854,30.928571428571427
air_36bcf77d3382d36e,2016-03-12,61,Saturday,0,3,12,2016,10,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,20.0,60.0,48.0,43.0,33.142857142857146,32.57142857142857,30.821428571428573
air_36bcf77d3382d36e,2016-03-13,60,Sunday,0,3,13,2016,10,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,61.0,66.0,68.0,55.0,33.285714285714285,33.5,31.464285714285715
air_36bcf77d3382d36e,2016-03-14,14,Monday,0,3,14,2016,11,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,60.0,20.0,24.0,31.0,32.42857142857143,32.92857142857143,31.642857142857142
air_36bcf77d3382d36e,2016-03-15,18,Tuesday,0,3,15,2016,11,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,14.0,24.0,23.0,17.0,31.571428571428573,32.214285714285715,31.035714285714285
air_36bcf77d3382d36e,2016-03-16,18,Wednesday,0,3,16,2016,11,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,18.0,19.0,14.0,21.0,30.714285714285715,31.857142857142858,31.071428571428573
air_36bcf77d3382d36e,2016-03-17,27,Thursday,0,3,17,2016,11,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,18.0,23.0,17.0,22.0,30.571428571428573,32.142857142857146,30.964285714285715
air_36bcf77d3382d36e,2016-03-18,56,Friday,0,3,18,2016,11,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,27.0,20.0,30.0,36.0,31.142857142857142,32.857142857142854,31.142857142857142
air_36bcf77d3382d36e,2016-03-19,44,Saturday,0,3,19,2016,11,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,56.0,61.0,60.0,51.0,36.285714285714285,34.714285714285715,31.857142857142858
air_36bcf77d3382d36e,2016-03-20,47,Sunday,1,3,20,2016,11,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,44.0,60.0,66.0,32.0,33.857142857142854,33.57142857142857,31.607142857142858
air_36bcf77d3382d36e,2016-03-21,52,Monday,1,3,21,2016,12,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,47.0,14.0,20.0,12.0,32.0,32.214285714285715,32.142857142857146
air_36bcf77d3382d36e,2016-03-22,22,Tuesday,0,3,22,2016,12,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,52.0,18.0,24.0,21.0,37.42857142857143,34.5,33.57142857142857
air_36bcf77d3382d36e,2016-03-23,14,Wednesday,0,3,23,2016,12,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,22.0,18.0,19.0,12.0,38.0,34.357142857142854,33.607142857142854
air_36bcf77d3382d36e,2016-03-24,17,Thursday,0,3,24,2016,12,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,14.0,27.0,23.0,30.0,37.42857142857143,34.0,33.67857142857143
air_36bcf77d3382d36e,2016-03-25,57,Friday,0,3,25,2016,12,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,56.0,20.0,24.0,36.0,33.57142857142857,33.214285714285715
air_36bcf77d3382d36e,2016-03-26,59,Saturday,0,3,26,2016,12,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,57.0,44.0,61.0,48.0,36.142857142857146,36.214285714285715,34.392857142857146
air_36bcf77d3382d36e,2016-03-27,44,Sunday,0,3,27,2016,12,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,59.0,47.0,60.0,68.0,38.285714285714285,36.07142857142857,34.785714285714285
air_36bcf77d3382d36e,2016-03-28,19,Monday,0,3,28,2016,13,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,44.0,52.0,14.0,24.0,37.857142857142854,34.92857142857143,33.92857142857143
air_36bcf77d3382d36e,2016-03-29,22,Tuesday,0,3,29,2016,13,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,19.0,22.0,18.0,23.0,33.142857142857146,35.285714285714285,33.75
air_36bcf77d3382d36e,2016-03-30,12,Wednesday,0,3,30,2016,13,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,22.0,14.0,18.0,14.0,33.142857142857146,35.57142857142857,33.714285714285715
air_36bcf77d3382d36e,2016-03-31,25,Thursday,0,3,31,2016,13,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,12.0,17.0,27.0,17.0,32.857142857142854,35.142857142857146,33.642857142857146
air_36bcf77d3382d36e,2016-04-01,31,Friday,0,4,1,2016,13,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,25.0,57.0,56.0,30.0,34.0,35.0,33.92857142857143
air_36bcf77d3382d36e,2016-04-02,50,Saturday,0,4,2,2016,13,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,31.0,59.0,44.0,60.0,30.285714285714285,33.214285714285715,33.964285714285715
air_36bcf77d3382d36e,2016-04-03,45,Sunday,0,4,3,2016,13,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,50.0,44.0,47.0,66.0,29.0,33.642857142857146,33.607142857142854
air_36bcf77d3382d36e,2016-04-04,32,Monday,0,4,4,2016,14,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,45.0,19.0,52.0,20.0,29.142857142857142,33.5,32.857142857142854
air_36bcf77d3382d36e,2016-04-05,22,Tuesday,0,4,5,2016,14,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,32.0,22.0,22.0,24.0,31.0,32.07142857142857,33.285714285714285
air_36bcf77d3382d36e,2016-04-06,18,Wednesday,0,4,6,2016,14,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,22.0,12.0,14.0,19.0,31.0,32.07142857142857,33.214285714285715
air_36bcf77d3382d36e,2016-04-07,17,Thursday,0,4,7,2016,14,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,18.0,25.0,17.0,23.0,31.857142857142858,32.357142857142854,33.17857142857143
air_36bcf77d3382d36e,2016-04-08,36,Friday,0,4,8,2016,14,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,31.0,57.0,20.0,30.714285714285715,32.357142857142854,32.964285714285715
air_36bcf77d3382d36e,2016-04-09,51,Saturday,0,4,9,2016,14,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,36.0,50.0,59.0,61.0,31.428571428571427,30.857142857142858,33.535714285714285
air_36bcf77d3382d36e,2016-04-10,41,Sunday,0,4,10,2016,14,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,51.0,45.0,44.0,60.0,31.571428571428573,30.285714285714285,33.17857142857143
air_36bcf77d3382d36e,2016-04-11,17,Monday,0,4,11,2016,15,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,41.0,32.0,19.0,14.0,31.0,30.071428571428573,32.5
air_36bcf77d3382d36e,2016-04-12,9,Tuesday,0,4,12,2016,15,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,22.0,22.0,18.0,28.857142857142858,29.928571428571427,32.607142857142854
air_36bcf77d3382d36e,2016-04-13,17,Wednesday,0,4,13,2016,15,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,9.0,18.0,12.0,18.0,27.0,29.0,32.285714285714285
air_36bcf77d3382d36e,2016-04-14,11,Thursday,0,4,14,2016,15,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,17.0,25.0,27.0,26.857142857142858,29.357142857142858,32.25
air_36bcf77d3382d36e,2016-04-15,29,Friday,0,4,15,2016,15,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,11.0,36.0,31.0,56.0,26.0,28.357142857142858,31.678571428571427
air_36bcf77d3382d36e,2016-04-16,57,Saturday,0,4,16,2016,15,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,29.0,51.0,50.0,44.0,25.0,28.214285714285715,30.714285714285715
air_36bcf77d3382d36e,2016-04-17,43,Sunday,0,4,17,2016,15,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,57.0,41.0,45.0,47.0,25.857142857142858,28.714285714285715,31.178571428571427
air_36bcf77d3382d36e,2016-04-18,18,Monday,0,4,18,2016,16,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,43.0,17.0,32.0,52.0,26.142857142857142,28.571428571428573,31.035714285714285
air_36bcf77d3382d36e,2016-04-19,19,Tuesday,0,4,19,2016,16,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,18.0,9.0,22.0,22.0,26.285714285714285,27.571428571428573,29.821428571428573
air_36bcf77d3382d36e,2016-04-20,12,Wednesday,0,4,20,2016,16,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,19.0,17.0,18.0,14.0,27.714285714285715,27.357142857142858,29.714285714285715
air_36bcf77d3382d36e,2016-04-21,22,Thursday,0,4,21,2016,16,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,12.0,11.0,17.0,17.0,27.0,26.928571428571427,29.642857142857142
air_36bcf77d3382d36e,2016-04-22,23,Friday,0,4,22,2016,16,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,22.0,29.0,36.0,57.0,28.571428571428573,27.285714285714285,29.821428571428573
air_36bcf77d3382d36e,2016-04-23,39,Saturday,0,4,23,2016,16,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,23.0,57.0,51.0,59.0,27.714285714285715,26.357142857142858,28.607142857142858
air_36bcf77d3382d36e,2016-04-24,36,Sunday,0,4,24,2016,16,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,39.0,43.0,41.0,44.0,25.142857142857142,25.5,27.892857142857142
air_36bcf77d3382d36e,2016-04-25,16,Monday,0,4,25,2016,17,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,36.0,18.0,17.0,19.0,24.142857142857142,25.142857142857142,27.607142857142858
air_36bcf77d3382d36e,2016-04-26,11,Tuesday,0,4,26,2016,17,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,16.0,19.0,9.0,22.0,23.857142857142858,25.071428571428573,27.5
air_36bcf77d3382d36e,2016-04-27,18,Wednesday,0,4,27,2016,17,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,11.0,12.0,17.0,12.0,22.714285714285715,25.214285714285715,27.107142857142858
air_36bcf77d3382d36e,2016-04-28,26,Thursday,0,4,28,2016,17,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,18.0,22.0,11.0,25.0,23.571428571428573,25.285714285714285,27.321428571428573
air_36bcf77d3382d36e,2016-04-29,67,Friday,1,4,29,2016,17,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,26.0,23.0,29.0,31.0,24.142857142857142,26.357142857142858,27.357142857142858
air_36bcf77d3382d36e,2016-04-30,71,Saturday,0,4,30,2016,17,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,67.0,39.0,57.0,50.0,30.428571428571427,29.071428571428573,28.642857142857142
air_36bcf77d3382d36e,2016-05-01,49,Sunday,0,5,1,2016,17,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,71.0,36.0,43.0,45.0,35.0,30.071428571428573,29.392857142857142
